feature,importance
macula,0.10446397612973218
diabetes_time_y,0.10035644596099834
diabetes,0.06804679917864592
RMS Feature,0.05989522590371088
Correlation Feature,0.05955885613907491
patient_age,0.056715284282348996
ASM Feature,0.05646226094323976
Homogeneity Feature,0.05639820329798886
Contrast Feature,0.056000153584471545
Dissimilarity Feature,0.05574235021639362
Energy Feature,0.055153997484891554
Standard Deviation Feature,0.054344407522219404
Mean Feature,0.05318261771556875
Variance Feature,0.052435106996354716
insuline,0.049323163690679114
vessels,0.020360689296384432
patient_sex,0.014719518559762203
optic_disc,0.009080236577730614
exam_eye,0.008205316145250824
quality,0.0036287444225822385
image_field,0.0034198584602126575
focus,0.0023197694089034725
Illuminaton,0.00018701808285501298
